,State,scode,Year,Deaths,Population,waitingh,permith,rate_calculated,log_rate,scode_char,Region,Division,rate_other,log_other,rate_combined,log_everything,rate_all,rlong_guns,log_long,BRFSS,perc_rural,perc_hs,less_9th,Median_inc,perc_male,perc_white,u_rate,Delay,treatment,Post,treatmentvar
71,Delaware,10.0,2001.0,42,795699,0.0,0.0,5.3,1.667706820558076,DE,South,South Atlantic,6.8,1.916922612182061,13.4,2.5952547069568657,6.7,1.4000000000000004,0.8754687373539001,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,4.0,0,1,0,0
72,Delaware,10.0,2002.0,29,806169,0.0,0.0,3.6,1.2809338454620642,DE,South,South Atlantic,4.5,1.5040773967762742,9.2,2.2192034840549946,4.7,1.1,0.7419373447293773,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,4.3,0,1,0,0
73,Delaware,10.0,2003.0,31,818003,0.0,0.0,3.8,1.33500106673234,DE,South,South Atlantic,6.4,1.8562979903656263,11.5,2.4423470353692043,5.1,1.2999999999999998,0.8329091229351039,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,4.2,0,1,0,0
74,Delaware,10.0,2004.0,36,830803,0.0,0.0,4.3,1.4586150226995167,DE,South,South Atlantic,5.8,1.7578579175523736,11.2,2.4159137783010487,5.4,1.1000000000000005,0.7419373447293776,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,4.5,0,1,0,0
75,Delaware,10.0,2005.0,31,845150,0.0,0.0,3.7,1.308332819650179,DE,South,South Atlantic,4.9,1.589235205116581,9.8,2.2823823856765264,5.0,1.2999999999999998,0.8329091229351039,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,4.4,0,1,0,0
76,Delaware,10.0,2006.0,32,859268,0.0,0.0,3.7,1.308332819650179,DE,South,South Atlantic,5.6,1.7227665977411035,10.5,2.3513752571634776,4.9,1.2000000000000002,0.7884573603642703,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,3.6,0,1,0,0
77,Delaware,10.0,2007.0,34,871749,0.0,0.0,3.9,1.3609765531356006,DE,South,South Atlantic,5.6,1.7227665977411035,10.9,2.388762789235098,5.3,1.4,0.8754687373538999,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,3.8,0,1,0,0
78,Delaware,10.0,2008.0,29,883874,0.0,0.0,3.3,1.1939224684724346,DE,South,South Atlantic,7.7,2.0412203288596382,12.3,2.509599262378372,4.6,1.2999999999999998,0.8329091229351039,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,6.8,0,1,1,1
79,Delaware,10.0,2009.0,33,891730,0.0,0.0,3.7,1.308332819650179,DE,South,South Atlantic,7.7,2.0412203288596382,12.0,2.4849066497880004,4.3,0.5999999999999996,0.47000362924573535,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,9.0,0,1,1,1
86,Florida,12.0,2000.0,1057,15982378,0.0,0.0,6.6,1.8870696490323797,FL,South,South Atlantic,5.6,1.7227665977411035,13.1,2.5726122302071057,7.4,0.8000000000000007,0.5877866649021194,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,3.8,0,1,0,0
87,Florida,12.0,2001.0,1050,16356966,0.0,0.0,6.4,1.8562979903656263,FL,South,South Atlantic,6.8,1.916922612182061,14.1,2.6461747973841225,7.3,0.8999999999999995,0.6418538861723945,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,5.2,0,1,0,0
88,Florida,12.0,2002.0,1079,16689370,0.0,0.0,6.5,1.8718021769015913,FL,South,South Atlantic,6.8,1.916922612182061,14.0,2.6390573296152584,7.2,0.7000000000000002,0.5306282510621705,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,4.7,0,1,0,0
89,Florida,12.0,2003.0,1127,17004085,0.0,0.0,6.6,1.8870696490323797,FL,South,South Atlantic,6.2,1.824549292051046,13.5,2.6026896854443837,7.3,0.7000000000000002,0.5306282510621705,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,4.1,0,1,0,0
90,Florida,12.0,2004.0,1069,17415318,0.0,0.0,6.1,1.8082887711792655,FL,South,South Atlantic,6.8,1.916922612182061,13.7,2.617395832834079,6.9,0.8000000000000007,0.5877866649021194,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,3.4,0,1,0,0
91,Florida,12.0,2005.0,1042,17842038,0.0,0.0,5.8,1.7578579175523736,FL,South,South Atlantic,6.6,1.8870696490323797,13.1,2.5726122302071057,6.5,0.7000000000000002,0.5306282510621705,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,2.5,0,1,0,0
92,Florida,12.0,2006.0,1080,18166990,0.0,0.0,5.9,1.7749523509116738,FL,South,South Atlantic,6.6,1.8870696490323797,13.4,2.5952547069568657,6.8,0.8999999999999995,0.6418538861723945,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,2.6,0,1,0,0
93,Florida,12.0,2007.0,1150,18367842,0.0,0.0,6.3,1.840549633397487,FL,South,South Atlantic,7.1,1.9600947840472698,14.1,2.6461747973841225,7.0,0.7000000000000002,0.5306282510621705,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,4.0,0,1,0,0
94,Florida,12.0,2008.0,1216,18527305,0.0,0.0,6.6,1.8870696490323797,FL,South,South Atlantic,7.2,1.9740810260220096,14.8,2.6946271807700692,7.5,0.9000000000000004,0.6418538861723949,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,7.4,0,1,1,1
95,Florida,12.0,2009.0,1316,18652644,0.0,0.0,7.1,1.9600947840472698,FL,South,South Atlantic,7.4,2.0014800002101243,15.3,2.72785282839839,7.9,0.8000000000000007,0.5877866649021194,0.220304473,0.107032134,28.7,6.7,38819,0.487894542,0.779923301,10.8,0,1,1,1
96,Georgia,13.0,2000.0,535,8186453,0.0,0.0,6.5,1.8718021769015913,GA,South,South Atlantic,3.2,1.1631508098056809,10.3,2.33214389523559,7.2,0.7000000000000002,0.5306282510621705,0.457139625,0.292991181,28.7,7.6,42433,0.491924036,0.65074349,3.4,0,1,0,0
97,Georgia,13.0,2001.0,572,8377038,0.0,0.0,6.8,1.916922612182061,GA,South,South Atlantic,3.6,1.2809338454620642,11.1,2.4069451083182885,7.5,0.7000000000000002,0.5306282510621705,0.457139625,0.292991181,28.7,7.6,42433,0.491924036,0.65074349,5.1,0,1,0,0
